subject,R2,n,time_span_days
C3001,-4.043018058051977,6,326
C3002,-46.12760988296778,6,288
C3003,-4.687292920950997,5,266
C3004,-16.60157457835389,5,252
C3005,0.05363267448705611,5,253
C3006,-7.234664838404239,5,250
C3009,-36.78389802734661,6,323
C3010,-322.89415124863416,6,321
C3011,-24.428280207421523,5,289
C3012,-42.62676000681856,6,323
C3013,-3.0355812564967284,5,253
C3015,0.2766210859060956,5,322
C3016,-19.25435466940109,7,323
C3017,-6.754659962068777,6,323
C3022,-4.476580683194403,6,325
C3023,-42.20049821951287,7,322
C3027,-3.362192031441812,6,301
C3028,-2.122784624239377,5,309
C3032,-1.1874851917120353,8,318
C3034,-72.84159413166883,5,280
C3035,-2.6827662598785276,5,310
C3037,-1.2948507717921518,8,323
E5001,-16.45188755912588,5,265
E5004,-3.216978690799385,5,273
E5009,-2.8881025323553424,5,281
E5013,-185.73857404973825,5,279
H4001,-1.408412788491427,8,322
H4004,-4.057094008715276,8,322
H4006,-1.2893720087491651,6,309
H4007,0.1159724925204948,5,212
H4008,-3.667914780667174,6,315
H4009,-25.90445102053561,6,322
H4010,-2.186078830055105,7,332
H4013,-2.7499780266353553,5,239
H4014,-43.57052810850814,6,353
H4015,-6.668665307053967,6,295
H4016,-3.277028227912248,6,329
H4018,-1.8894892701485424,6,322
H4019,-0.41334456948608267,6,322
H4020,-54.51681585564036,5,280
H4022,-2.4241169750519256,5,252
H4023,-15.884981025219567,5,306
H4027,-5.7059241912913174,5,266
H4030,0.9143357415268112,5,235
H4031,-3.399161343679318,5,246
H4032,0.6048669380796317,5,237
H4035,-2.462027726294652,7,280
H4038,-24.38793921057261,6,323
H4043,-1.9465522933039026,5,247
H4045,-4.613816198920503,6,278
M2008,-5.158840806295546,6,366
M2014,-24.92187657364801,6,305
M2025,-4.307903939240761,5,269
M2026,-12.542075958406134,5,266
M2027,-39.00066354786206,5,229
M2028,-6.219726452700997,5,288
M2034,-9.296935985652519,5,223
M2039,-56.96993563577821,5,339
M2041,-19.203218225369305,5,354
M2042,-73.37578558536183,5,281
M2047,-13.444487095653448,6,279
M2061,-9.556856719597343,7,357
M2064,-6.048824927134263,5,273
M2069,-6.010810524195766,6,260
M2071,-3.204826489924187,5,405
M2072,-9.015818621564684,5,237
M2075,-21.835839803081452,6,361
M2077,-59.82169499210151,6,359
M2079,-59.93518930619663,5,404
M2083,-11.775684408416447,5,282
M2084,-63.396891400469755,6,331
M2085,-12.442864128373397,7,351
M2097,-8.768929736439521,5,204
P6005,-18.192125396962382,6,347
P6009,-17.930685027180843,6,314
P6010,0.49040047474206994,6,321
P6016,-9.413414615395416,6,286
P6018,-1.6749254121429766,5,279
P6028,-31.691057427046424,6,350
P6038,-1.71251926215221,5,265
