subject,p0,alpha_F,alpha_A,lambda_B,n_obs
C3001,343448.37723957177,-335194.93422941177,70093.9541138474,0.05,6
C3002,160217.48443761276,-63484.135307276454,20687.62075768548,0.05,6
C3003,186115.72926255767,717212.803901181,-115678.44116731966,0.05,5
C3004,214584.4556170643,80700.71251262957,-159091.9468294583,0.05,5
C3005,147089.30291582874,81066.73743570998,38397.40395637171,0.05,5
C3006,-265932.2160940602,1190065.3447212859,-395693.85574399243,0.05,5
C3009,191095.2178443739,-100009.39444637032,-19510.713025242876,0.05,6
C3010,234555.00458900977,1194168.8460860094,-1034402.1597443146,0.05,6
C3011,1935198.7766884537,-3583506.0798435956,399208.497128746,0.05,5
C3012,62213.03829012617,-1333.7068752875202,359774.4958638289,0.05,6
C3013,-71681.12849936803,489374.4159506287,203465.16214080673,0.05,5
C3015,-328694.1077543069,539742.34829368,359465.3291828787,0.05,5
C3016,221863.29324001947,487215.42843596986,-2570416.42276019,0.05,7
C3017,291477.32520297973,-325410.3562441547,171083.72641408566,0.05,6
C3022,180094.0423993545,438942.5854012239,6935.250848344556,0.05,6
C3023,265814.80161646206,172599.89167370333,-34787.36687427999,0.05,7
C3027,287020.9728133638,-112454.63427275552,-41296.561596010535,0.05,6
C3028,21747.950769993324,477601.327275438,906581.9879611471,0.05,5
C3032,243144.261254079,-4401.699246678829,-55799.31178334661,0.05,8
C3034,84744.97392788548,277547.49167865777,-169593.83413033618,0.05,5
C3035,251277.97889570217,42178.176602699095,157733.59376251727,0.05,5
C3037,-372457.44805824064,612841.3460078773,463841.5587396558,0.05,8
E5001,429259.68630884244,-537361.3911575859,376216.5630171525,0.05,5
E5004,98249.4172952755,14693.85350989271,118734.25338830875,0.05,5
E5009,128510.0163531118,40134.583358933465,-39517.54195958945,0.05,5
E5013,545875.289589311,-198657.71151041536,-365592.45877408225,0.05,5
H4001,228333.40575410958,-88865.01063217287,178695.9148610413,0.05,8
H4004,221485.64789093894,-176933.1126770047,104372.63372014294,0.05,8
H4006,154910.30186748513,-6174.249855818343,978731.5007749541,0.05,6
H4007,124617.226696086,184979.75160796905,88600.67040592729,0.05,5
H4008,193913.10492142173,461370.4243213728,-70055.40771154466,0.05,6
H4009,184979.0719998489,-64983.32147824708,-2878.0113875733186,0.05,6
H4010,151085.8344193146,82019.20909086805,104899.7321540238,0.05,7
H4013,26061.708805510127,616313.6429762401,946170.5232646426,0.05,5
H4014,438810.59742466017,129954.07599753342,-53362.78670924787,0.05,6
H4015,542057.77643833,-304331.7957829373,-130657.50350728104,0.05,6
H4016,-209773.26349322885,364906.845516608,518473.01321686816,0.05,6
H4018,243898.96179293277,-174695.76660944274,74538.8746195254,0.05,6
H4019,658026.9131586674,-1922626.8239571734,1203482.770014567,0.05,6
H4020,360813.4245550593,79255.2790486188,0.0,0.05,5
H4022,-111535.93406567081,479982.6017443106,91234.35970464608,0.05,5
H4023,34999.4950918098,736310.171141811,0.0,0.05,5
H4027,81048.13644174112,181902.10014336178,31596.97685380077,0.05,5
H4030,157648.77318857078,-75318.04152331885,44428.859118883454,0.05,5
H4031,395061.90408976073,80299.21537981275,-116438.47847604379,0.05,5
H4032,639865.046081049,-2517219.731368182,6573908.294204915,0.05,5
H4035,219441.50472263296,34673.43324330833,414569.8850884773,0.05,7
H4038,217175.65638632094,-313811.7885789756,218670.79722134367,0.05,6
H4043,-164052.57174949758,468449.66745211417,486961.68006992224,0.05,5
H4045,637531.1122557383,-416593.68126051984,-91921.35456560651,0.05,6
M2008,-133595.1156928046,405517.11850540765,282387.9419724504,0.05,6
M2014,268929.3351175975,154384.2887642623,69954.40179510826,0.05,6
M2025,-54030.03411837487,502532.6663798559,93904.0712699185,0.05,5
M2026,322379.69112823525,198722.7134636139,194469.377327614,0.05,5
M2027,398386.75132028805,22936.091684669784,-7892.801801954296,0.05,5
M2028,115676.22222467305,45509.988883593585,-23651.388900328606,0.05,5
M2034,198122.76379643695,-99592.14741773995,-14714.633630516946,0.05,5
M2039,104176.00331940319,175094.26285745495,272316.6964362939,0.05,5
M2041,157517.00464981503,191789.1409056471,-62280.313734599935,0.05,5
M2042,237395.34360061775,38530.94381319171,16273.641368383973,0.05,5
M2047,424533.0354626185,-53150.17940127425,-140988.31803074258,0.05,6
M2061,277526.7092073457,108496.018895705,145469.08224694894,0.05,7
M2064,778396.1405140687,-303664.34467793076,-299367.157432993,0.05,5
M2069,333146.2834366752,-24709.773932948214,-89831.55281599524,0.05,6
M2071,283022.2926683002,34931.022803914624,31844.825722733138,0.05,5
M2072,106970.81494705092,307517.8642610827,212755.0108249602,0.05,5
M2075,312302.2030324048,-53947.74429468325,43444.24431850866,0.05,6
M2077,227733.07906133693,-82263.77968790867,746.7571447587252,0.05,6
M2079,183516.96095947907,83597.61796553663,-30463.495441651237,0.05,5
M2083,27724.919116569356,45779.01045993204,10585.93481436914,0.05,5
M2084,466937.646780929,-62163.19337421383,0.0,0.05,6
M2085,174710.30442805102,355818.07405851776,151887.4670836528,0.05,7
M2097,185498.872978939,-13374.08059438401,238424.97772588345,0.05,5
P6005,728753.6511774783,-293622.1910216765,-295675.72333064955,0.05,6
P6009,383989.8371793098,-348208.0405150348,201478.2354785824,0.05,6
P6010,884962.9266638745,-4903441.395024815,4210076.634309031,0.05,6
P6016,97045.15172895741,-31394.548054919193,49026.81930989591,0.05,6
P6018,195053.49704928344,78287.39408750657,-115988.16443519005,0.05,5
P6028,936.3719463054691,652.6830638082664,184.89414622171878,0.05,6
P6038,124813.11853008138,119182.36053567161,421961.585951224,0.05,5
