subject,R2_logspace,n,time_span_days
C3001,0.00529337787330475,6,326
C3002,0.04153155274771436,6,288
C3009,0.006301703643757706,6,323
C3010,0.7278514965115709,6,321
C3012,0.22755822400108272,6,323
C3016,0.03410878348960744,7,323
C3017,0.9809637545838545,6,323
C3022,0.06851420745210157,6,325
C3023,0.009402965664989327,7,322
C3027,0.00893618609675495,6,301
C3032,0.11906101514686773,8,318
C3037,4.557465516086268e-13,8,323
H4001,0.04933333390592021,8,322
H4004,0.0354840095396558,8,322
H4006,0.931676648246274,6,309
H4008,0.25393575271606317,6,315
H4009,0.019120723427349717,6,322
H4010,0.020240599290868078,7,332
H4014,0.015786535863857032,6,353
H4015,0.10938998199138983,6,295
H4016,0.5118086495610892,6,329
H4018,0.13648176583426408,6,322
H4019,0.7747754779433755,6,322
H4035,0.587778739740898,7,280
H4038,0.904010435744242,6,323
H4045,0.24736595691779517,6,278
M2008,0.16815351449779004,6,366
M2014,0.7786870001942675,6,305
M2047,0.01689113870342629,6,279
M2061,0.2076606496302209,7,357
M2069,0.5329469711397253,6,260
M2075,0.06664313933978494,6,361
M2077,0.49582624523707897,6,359
M2084,0.36773598949389386,6,331
M2085,0.7192466226654661,7,351
P6005,0.0811124706079982,6,347
P6009,0.890848106035257,6,314
P6010,0.9729454342424215,6,321
P6016,0.18656424463052546,6,286
P6028,0.5729948714066094,6,350
