subject,p0,alpha_F,alpha_A,lambda_B,alpha_obs,beta_obs,n_obs
C3001,257180.7148081787,-308425.149592201,-625193.9417298222,0.02,14.770682431243818,-0.009087978998674043,6
C3002,69290.80204453936,-29660.94607719057,22917.623892715535,0.02,12.245516184910477,0.17657591815967696,6
C3009,31564.878909480318,8262.106783781732,33941.821138554275,0.02,14.31906501324022,0.023568996331466367,6
C3010,82347.90586128799,330649.9753694356,-274504.43753376516,0.02,10.000371778390917,0.34851040718199117,6
C3012,40695.6372708947,-17939.169549014132,-133677.8752590227,0.02,12.454587911342978,0.11604058738951994,6
C3016,122265.923654031,74237.22845058586,-2179925.1900084163,0.02,22.688784870696445,-0.42948194416301566,7
C3017,204651.90998615857,-1420637.7700529296,688474.7857954779,0.02,10.906032241108546,0.30306614159933737,6
C3022,-346090.5536962664,712235.7345747313,466110.9028775529,0.02,15.903455743741624,0.016532242314143394,6
C3023,131751.68758418784,40979.08457136431,-18663.987611630724,0.02,19.605948409022716,-0.24769505349356263,7
C3027,123433.24579548147,-58672.323783573695,-16605.9451989828,0.02,17.27616058456336,-0.13735562270665697,6
C3032,244667.11760387223,-273623.3856285356,233197.8397521518,0.02,15.130602467916574,0.01410405919419231,8
C3037,-103389.67885257161,119989.76549654844,804885.9346743145,0.02,15.0623312442162,0.0,8
H4001,120846.14529458726,-91389.32343414646,80952.82439195439,0.02,18.522853507283394,-0.2195274560803563,8
H4004,-81722.11283368008,368568.05163911363,52369.89840031249,0.02,14.301684160716782,0.037584174439542546,8
H4006,324000.91545881575,-324523.323141993,37457.90097361214,0.02,9.834567617530698,0.3795482286464206,6
H4008,87143.33835127905,190702.99806081946,-48360.06392091549,0.02,-0.35032434651565914,1.0182995115519622,6
H4009,38800.44859428153,118676.01338572791,-147454.39382382968,0.02,13.689181449744835,0.08312053021066032,6
H4010,26764.735194654706,150067.0647711869,-81393.21541033541,0.02,9.780682469526926,0.34808114810325186,7
H4014,175729.74140467664,48064.29096859018,21757.66855775583,0.02,-11.169705317131461,1.6964226751307072,6
H4015,609291.6266788561,-2839994.493324478,181592.12401222344,0.02,15.478506148327375,-0.10031612213597432,6
H4016,142540.02426233757,-152591.93582324148,44118.192703697045,0.02,3.5333775227823017,0.8054200439437426,6
H4018,89854.73060935123,255341.9821088002,-577937.5881249283,0.02,19.154754297561936,-0.24596113960195193,6
H4019,309161.3193605255,-1330952.2597983768,1080926.516734364,0.02,14.208595321839473,0.10498527055335263,6
H4035,137586.72304580695,53179.00483231814,54272.33356412969,0.02,-31.494640616662267,3.00269170996745,7
H4038,138719.5025501088,-191267.4714095198,62313.17276952391,0.02,13.898976115949432,0.09078620059842836,6
H4045,248421.59109325355,-343547.93375400174,188848.15916560267,0.02,15.207946785031522,0.044789410415951025,6
M2008,-165248.59825879885,359349.5330532314,212352.99161380486,0.02,15.55653838520015,-0.038051748149893344,6
M2014,87272.31191231485,108838.65632642648,10285.2057219954,0.02,3.124435347335961,0.8020864171138476,6
M2047,138024.98651231077,-17304.617695390873,5015.682345741237,0.02,65.25287105084614,-3.1579821704577076,6
M2061,65032.60995569848,301055.94911526033,-173847.13623766918,0.02,11.89724716644492,0.24338749402671048,7
M2069,912695.7998607815,-1113952.6275944554,-571457.4391112349,0.02,29.80325566659514,-0.8765028936740381,6
M2075,162048.27871648717,-112626.3141102705,108070.26387149414,0.02,17.772917590421685,-0.14862159091692134,6
M2077,152048.65381008977,-119976.37240725693,15140.11588774388,0.02,8.74662466732385,0.42413218875045067,6
M2084,49023.50687538469,241111.21534043667,0.0,0.02,9.10430188451215,0.42623751935655924,6
M2085,-322091.50089505577,478189.1920855264,308948.1516580025,0.02,15.610770973568213,0.041421960836982984,7
P6005,365271.56768507283,-56966.73017934596,-416351.3479722459,0.02,28.721521562366448,-0.7662748954029693,6
P6009,154567.22165564625,-171903.80411859156,115983.79581739104,0.02,14.64497841189828,0.06322371318807253,6
P6010,365876.8267564194,-1130150.1049911557,391007.36910379125,0.02,10.49336369745618,0.35429388836220066,6
P6016,38435.17135198876,5260.455580200324,-30715.80555690515,0.02,-25.100992780203804,2.6749105793038233,6
P6028,552.718394450344,-165.28524774890136,417.48791060476015,0.02,11.291353613596451,-0.1160678972892153,6
