subject,p0,alpha_F,alpha_A,lambda_B,alpha_obs,beta_obs,n_obs,lag_F,lag_A
C3016,136322.50468489222,-331824.2636081031,-1425160.4704556335,0.005,4.307610379356834,0.7316257814753216,7,1,0
C3023,75780.55043459038,-62775.48840134165,-1065.6637861973795,0.005,8.373604164885089,0.4615727883076996,7,1,0
C3032,-70907.81175833366,170559.8531404092,5328.603970014214,0.005,1.9902550700616861,0.8583390585684783,8,1,0
C3037,-200741.55115071556,221512.89619649888,628431.1722744006,0.005,15.119109845471513,0.0,8,1,0
H4001,25109.38203071136,28959.14625155455,39058.4953565732,0.005,22.622410955259866,-0.46846947922987714,8,1,0
H4004,-45360.730306539925,278957.161238078,-111239.4692194621,0.005,63.72638182176614,-3.044040289435232,8,1,0
H4010,290856.128439228,-303713.10485206236,-377056.44563225395,0.005,15.36380694990366,0.004470608345046277,7,1,0
H4035,205075.3872771711,93427.5924411495,-349492.0087920512,0.005,16.97427697910386,-0.05892325724877092,7,1,0
M2061,95703.91117927845,-143466.9815815828,-21247.10702032484,0.005,7.72939493611229,0.5103666163727655,7,1,0
M2085,365382.04090883175,-252105.53075269924,-609965.0625951425,0.005,37.88178799190658,-1.2406175987754438,7,1,0
