subject,p0,alpha_F,alpha_A,lambda_B,k_LB,alpha_obs,beta_obs,n_obs,lag_F,lag_A,lag_L
C3016,204349.1805631558,23398.931946965546,-3182774.1469954494,0.04,634306.4299905397,24.105001721705513,-0.5090884581965482,7,1,0,1
C3023,-166117.33856445237,190574.77482790584,125268.78632356724,0.04,634306.4299905397,15.248992079874123,0.03860447198853584,7,1,0,1
C3032,-79447.80681861575,60000.99619966064,-367166.0676468031,0.04,634306.4299905397,15.446847074028367,-0.014909303314225813,8,1,0,1
C3037,-399145.22599135444,115546.14779954881,688369.8969115092,0.04,634306.4299905397,15.403840564478648,-0.057483042908089046,8,1,0,1
H4001,-216046.0944714433,365440.3725863142,80225.61302064947,0.04,634306.4299905397,15.52018789501638,-0.0019967855331114457,8,1,0,1
H4004,-680465.1111240567,1493694.3179349655,521059.3158690337,0.04,634306.4299905397,14.64380990996011,0.03505968662327568,8,1,0,1
H4010,-4459.77099214249,62874.71674571765,-71264.7042772019,0.04,634306.4299905397,15.60916557680588,-0.013729317591735027,7,1,0,1
H4035,52387.187460749265,-430263.79247017216,368960.7148091317,0.04,634306.4299905397,15.920026094719187,0.00626857433672714,7,1,0,1
M2061,-253311.44127712547,390472.49867421994,86835.70826837068,0.04,634306.4299905397,15.605697295785378,0.026627195024466272,7,1,0,1
M2085,-122397.38901164591,-588776.0153394185,2085509.0286533886,0.04,634306.4299905397,15.994717272000265,0.0,7,1,0,1
