subject,R2_logspace_v3,R2_logspace_v4,delta
C3016,0.3582063171017339,0.6704415408205542,0.3122352237188203
C3023,0.0491610532836206,0.7702809712453881,0.7211199179617674
C3032,0.1175658503056331,0.1491060227249424,0.03154017241930929
C3037,4.861666624833559e-13,0.4726843229891839,0.4726843229886977
H4001,0.1152641370192352,0.0021612642667613,-0.1131028727524739
H4004,0.5413396401187689,0.0366133275955404,-0.5047263125232285
H4010,1.3920939806788546e-05,0.0158971487128868,0.015883227773080013
H4035,0.0133064796431761,0.0122391949913576,-0.0010672846518185002
M2061,0.1724812545096617,0.3789448222189285,0.2064635677092668
M2085,0.257508869551449,2.243871755069904e-12,-0.25750886954920515
