mode,U,T,area_UxT,success
butyrate,0.03,24.0,,False
butyrate,0.03,40.0,,False
butyrate,0.03,56.0,,False
butyrate,0.03,72.0,,False
butyrate,0.03,88.0,,False
butyrate,0.03,104.0,,False
butyrate,0.03,120.0,,False
butyrate,0.03,136.0,,False
butyrate,0.03,152.0,,False
butyrate,0.03,168.0,,False
butyrate,0.07272727272727272,24.0,,False
butyrate,0.07272727272727272,40.0,,False
butyrate,0.07272727272727272,56.0,,False
butyrate,0.07272727272727272,72.0,,False
butyrate,0.07272727272727272,88.0,,False
butyrate,0.07272727272727272,104.0,,False
butyrate,0.07272727272727272,120.0,,False
butyrate,0.07272727272727272,136.0,,False
butyrate,0.07272727272727272,152.0,,False
butyrate,0.07272727272727272,168.0,,False
butyrate,0.11545454545454545,24.0,,False
butyrate,0.11545454545454545,40.0,,False
butyrate,0.11545454545454545,56.0,,False
butyrate,0.11545454545454545,72.0,,False
butyrate,0.11545454545454545,88.0,,False
butyrate,0.11545454545454545,104.0,,False
butyrate,0.11545454545454545,120.0,,False
butyrate,0.11545454545454545,136.0,,False
butyrate,0.11545454545454545,152.0,,False
butyrate,0.11545454545454545,168.0,,False
butyrate,0.15818181818181817,24.0,,False
butyrate,0.15818181818181817,40.0,,False
butyrate,0.15818181818181817,56.0,,False
butyrate,0.15818181818181817,72.0,,False
butyrate,0.15818181818181817,88.0,,False
butyrate,0.15818181818181817,104.0,,False
butyrate,0.15818181818181817,120.0,,False
butyrate,0.15818181818181817,136.0,,False
butyrate,0.15818181818181817,152.0,,False
butyrate,0.15818181818181817,168.0,,False
butyrate,0.2009090909090909,24.0,,False
butyrate,0.2009090909090909,40.0,,False
butyrate,0.2009090909090909,56.0,,False
butyrate,0.2009090909090909,72.0,,False
butyrate,0.2009090909090909,88.0,,False
butyrate,0.2009090909090909,104.0,,False
butyrate,0.2009090909090909,120.0,,False
butyrate,0.2009090909090909,136.0,,False
butyrate,0.2009090909090909,152.0,,False
butyrate,0.2009090909090909,168.0,,False
butyrate,0.24363636363636362,24.0,,False
butyrate,0.24363636363636362,40.0,,False
butyrate,0.24363636363636362,56.0,,False
butyrate,0.24363636363636362,72.0,,False
butyrate,0.24363636363636362,88.0,,False
butyrate,0.24363636363636362,104.0,,False
butyrate,0.24363636363636362,120.0,,False
butyrate,0.24363636363636362,136.0,,False
butyrate,0.24363636363636362,152.0,,False
butyrate,0.24363636363636362,168.0,,False
butyrate,0.2863636363636364,24.0,,False
butyrate,0.2863636363636364,40.0,,False
butyrate,0.2863636363636364,56.0,,False
butyrate,0.2863636363636364,72.0,,False
butyrate,0.2863636363636364,88.0,,False
butyrate,0.2863636363636364,104.0,,False
butyrate,0.2863636363636364,120.0,,False
butyrate,0.2863636363636364,136.0,,False
butyrate,0.2863636363636364,152.0,,False
butyrate,0.2863636363636364,168.0,,False
butyrate,0.3290909090909091,24.0,,False
butyrate,0.3290909090909091,40.0,,False
butyrate,0.3290909090909091,56.0,,False
butyrate,0.3290909090909091,72.0,,False
butyrate,0.3290909090909091,88.0,,False
butyrate,0.3290909090909091,104.0,,False
butyrate,0.3290909090909091,120.0,,False
butyrate,0.3290909090909091,136.0,,False
butyrate,0.3290909090909091,152.0,,False
butyrate,0.3290909090909091,168.0,,False
butyrate,0.3718181818181818,24.0,,False
butyrate,0.3718181818181818,40.0,,False
butyrate,0.3718181818181818,56.0,,False
butyrate,0.3718181818181818,72.0,,False
butyrate,0.3718181818181818,88.0,,False
butyrate,0.3718181818181818,104.0,,False
butyrate,0.3718181818181818,120.0,,False
butyrate,0.3718181818181818,136.0,,False
butyrate,0.3718181818181818,152.0,,False
butyrate,0.3718181818181818,168.0,,False
butyrate,0.41454545454545455,24.0,,False
butyrate,0.41454545454545455,40.0,,False
butyrate,0.41454545454545455,56.0,,False
butyrate,0.41454545454545455,72.0,,False
butyrate,0.41454545454545455,88.0,,False
butyrate,0.41454545454545455,104.0,,False
butyrate,0.41454545454545455,120.0,,False
butyrate,0.41454545454545455,136.0,,False
butyrate,0.41454545454545455,152.0,,False
butyrate,0.41454545454545455,168.0,,False
butyrate,0.4572727272727273,24.0,,False
butyrate,0.4572727272727273,40.0,,False
butyrate,0.4572727272727273,56.0,,False
butyrate,0.4572727272727273,72.0,,False
butyrate,0.4572727272727273,88.0,,False
butyrate,0.4572727272727273,104.0,,False
butyrate,0.4572727272727273,120.0,,False
butyrate,0.4572727272727273,136.0,,False
butyrate,0.4572727272727273,152.0,,False
butyrate,0.4572727272727273,168.0,,False
butyrate,0.5,24.0,,False
butyrate,0.5,40.0,,False
butyrate,0.5,56.0,,False
butyrate,0.5,72.0,,False
butyrate,0.5,88.0,,False
butyrate,0.5,104.0,,False
butyrate,0.5,120.0,,False
butyrate,0.5,136.0,,False
butyrate,0.5,152.0,,False
butyrate,0.5,168.0,,False
prebiotic,0.1,48.0,,False
prebiotic,0.1,80.0,,False
prebiotic,0.1,112.0,,False
prebiotic,0.1,144.0,,False
prebiotic,0.1,176.0,,False
prebiotic,0.1,208.0,,False
prebiotic,0.1,240.0,,False
prebiotic,0.1,272.0,,False
prebiotic,0.1,304.0,,False
prebiotic,0.1,336.0,,False
prebiotic,0.17272727272727273,48.0,,False
prebiotic,0.17272727272727273,80.0,,False
prebiotic,0.17272727272727273,112.0,,False
prebiotic,0.17272727272727273,144.0,,False
prebiotic,0.17272727272727273,176.0,,False
prebiotic,0.17272727272727273,208.0,,False
prebiotic,0.17272727272727273,240.0,,False
prebiotic,0.17272727272727273,272.0,,False
prebiotic,0.17272727272727273,304.0,,False
prebiotic,0.17272727272727273,336.0,,False
prebiotic,0.24545454545454548,48.0,,False
prebiotic,0.24545454545454548,80.0,,False
prebiotic,0.24545454545454548,112.0,,False
prebiotic,0.24545454545454548,144.0,,False
prebiotic,0.24545454545454548,176.0,,False
prebiotic,0.24545454545454548,208.0,,False
prebiotic,0.24545454545454548,240.0,,False
prebiotic,0.24545454545454548,272.0,,False
prebiotic,0.24545454545454548,304.0,,False
prebiotic,0.24545454545454548,336.0,,False
prebiotic,0.31818181818181823,48.0,,False
prebiotic,0.31818181818181823,80.0,,False
prebiotic,0.31818181818181823,112.0,,False
prebiotic,0.31818181818181823,144.0,,False
prebiotic,0.31818181818181823,176.0,,False
prebiotic,0.31818181818181823,208.0,,False
prebiotic,0.31818181818181823,240.0,,False
prebiotic,0.31818181818181823,272.0,,False
prebiotic,0.31818181818181823,304.0,,False
prebiotic,0.31818181818181823,336.0,,False
prebiotic,0.390909090909091,48.0,,False
prebiotic,0.390909090909091,80.0,,False
prebiotic,0.390909090909091,112.0,,False
prebiotic,0.390909090909091,144.0,,False
prebiotic,0.390909090909091,176.0,,False
prebiotic,0.390909090909091,208.0,,False
prebiotic,0.390909090909091,240.0,,False
prebiotic,0.390909090909091,272.0,,False
prebiotic,0.390909090909091,304.0,,False
prebiotic,0.390909090909091,336.0,,False
prebiotic,0.46363636363636374,48.0,,False
prebiotic,0.46363636363636374,80.0,,False
prebiotic,0.46363636363636374,112.0,,False
prebiotic,0.46363636363636374,144.0,,False
prebiotic,0.46363636363636374,176.0,,False
prebiotic,0.46363636363636374,208.0,,False
prebiotic,0.46363636363636374,240.0,,False
prebiotic,0.46363636363636374,272.0,,False
prebiotic,0.46363636363636374,304.0,,False
prebiotic,0.46363636363636374,336.0,,False
prebiotic,0.5363636363636364,48.0,,False
prebiotic,0.5363636363636364,80.0,,False
prebiotic,0.5363636363636364,112.0,,False
prebiotic,0.5363636363636364,144.0,,False
prebiotic,0.5363636363636364,176.0,,False
prebiotic,0.5363636363636364,208.0,,False
prebiotic,0.5363636363636364,240.0,,False
prebiotic,0.5363636363636364,272.0,,False
prebiotic,0.5363636363636364,304.0,,False
prebiotic,0.5363636363636364,336.0,,False
prebiotic,0.6090909090909091,48.0,,False
prebiotic,0.6090909090909091,80.0,,False
prebiotic,0.6090909090909091,112.0,,False
prebiotic,0.6090909090909091,144.0,,False
prebiotic,0.6090909090909091,176.0,,False
prebiotic,0.6090909090909091,208.0,,False
prebiotic,0.6090909090909091,240.0,,False
prebiotic,0.6090909090909091,272.0,,False
prebiotic,0.6090909090909091,304.0,,False
prebiotic,0.6090909090909091,336.0,,False
prebiotic,0.6818181818181819,48.0,,False
prebiotic,0.6818181818181819,80.0,,False
prebiotic,0.6818181818181819,112.0,,False
prebiotic,0.6818181818181819,144.0,,False
prebiotic,0.6818181818181819,176.0,,False
prebiotic,0.6818181818181819,208.0,,False
prebiotic,0.6818181818181819,240.0,,False
prebiotic,0.6818181818181819,272.0,,False
prebiotic,0.6818181818181819,304.0,,False
prebiotic,0.6818181818181819,336.0,,False
prebiotic,0.7545454545454546,48.0,,False
prebiotic,0.7545454545454546,80.0,,False
prebiotic,0.7545454545454546,112.0,,False
prebiotic,0.7545454545454546,144.0,,False
prebiotic,0.7545454545454546,176.0,,False
prebiotic,0.7545454545454546,208.0,,False
prebiotic,0.7545454545454546,240.0,,False
prebiotic,0.7545454545454546,272.0,,False
prebiotic,0.7545454545454546,304.0,,False
prebiotic,0.7545454545454546,336.0,,False
prebiotic,0.8272727272727274,48.0,,False
prebiotic,0.8272727272727274,80.0,,False
prebiotic,0.8272727272727274,112.0,,False
prebiotic,0.8272727272727274,144.0,,False
prebiotic,0.8272727272727274,176.0,,False
prebiotic,0.8272727272727274,208.0,,False
prebiotic,0.8272727272727274,240.0,,False
prebiotic,0.8272727272727274,272.0,,False
prebiotic,0.8272727272727274,304.0,,False
prebiotic,0.8272727272727274,336.0,,False
prebiotic,0.9,48.0,,False
prebiotic,0.9,80.0,,False
prebiotic,0.9,112.0,,False
prebiotic,0.9,144.0,,False
prebiotic,0.9,176.0,,False
prebiotic,0.9,208.0,,False
prebiotic,0.9,240.0,,False
prebiotic,0.9,272.0,,False
prebiotic,0.9,304.0,,False
prebiotic,0.9,336.0,,False
antiinf,0.1,48.0,,False
antiinf,0.1,84.0,,False
antiinf,0.1,120.0,,False
antiinf,0.1,156.0,,False
antiinf,0.1,192.0,,False
antiinf,0.1,228.0,,False
antiinf,0.1,264.0,,False
antiinf,0.1,300.0,,False
antiinf,0.1,336.0,,False
antiinf,0.15000000000000002,48.0,,False
antiinf,0.15000000000000002,84.0,,False
antiinf,0.15000000000000002,120.0,,False
antiinf,0.15000000000000002,156.0,,False
antiinf,0.15000000000000002,192.0,,False
antiinf,0.15000000000000002,228.0,,False
antiinf,0.15000000000000002,264.0,,False
antiinf,0.15000000000000002,300.0,,False
antiinf,0.15000000000000002,336.0,,False
antiinf,0.2,48.0,,False
antiinf,0.2,84.0,,False
antiinf,0.2,120.0,,False
antiinf,0.2,156.0,,False
antiinf,0.2,192.0,,False
antiinf,0.2,228.0,,False
antiinf,0.2,264.0,,False
antiinf,0.2,300.0,,False
antiinf,0.2,336.0,,False
antiinf,0.25,48.0,,False
antiinf,0.25,84.0,,False
antiinf,0.25,120.0,,False
antiinf,0.25,156.0,,False
antiinf,0.25,192.0,,False
antiinf,0.25,228.0,,False
antiinf,0.25,264.0,,False
antiinf,0.25,300.0,,False
antiinf,0.25,336.0,,False
antiinf,0.30000000000000004,48.0,,False
antiinf,0.30000000000000004,84.0,,False
antiinf,0.30000000000000004,120.0,,False
antiinf,0.30000000000000004,156.0,,False
antiinf,0.30000000000000004,192.0,,False
antiinf,0.30000000000000004,228.0,,False
antiinf,0.30000000000000004,264.0,,False
antiinf,0.30000000000000004,300.0,,False
antiinf,0.30000000000000004,336.0,,False
antiinf,0.35,48.0,,False
antiinf,0.35,84.0,,False
antiinf,0.35,120.0,,False
antiinf,0.35,156.0,,False
antiinf,0.35,192.0,,False
antiinf,0.35,228.0,,False
antiinf,0.35,264.0,,False
antiinf,0.35,300.0,,False
antiinf,0.35,336.0,,False
antiinf,0.4,48.0,,False
