mode,U,T,area_UxT,success
prebiotic,0.4166666666666667,48.0,20.0,False
prebiotic,0.4166666666666667,48.0,20.0,False
prebiotic,0.20833333333333334,96.0,20.0,False
prebiotic,0.10416666666666667,192.0,20.0,False
prebiotic,0.8333333333333334,48.0,40.0,False
prebiotic,0.8333333333333334,48.0,40.0,False
prebiotic,0.4166666666666667,96.0,40.0,False
prebiotic,0.20833333333333334,192.0,40.0,False
prebiotic,0.11904761904761904,336.0,40.0,False
prebiotic,0.625,96.0,60.0,False
prebiotic,0.3125,192.0,60.0,False
prebiotic,0.17857142857142858,336.0,60.0,False
prebiotic,0.5208333333333334,192.0,100.0,False
prebiotic,0.2976190476190476,336.0,100.0,False
prebiotic,0.78125,192.0,150.0,False
prebiotic,0.44642857142857145,336.0,150.0,False
prebiotic,0.6547619047619048,336.0,220.0,False
prebiotic,0.8928571428571429,336.0,300.0,False
butyrate,0.4166666666666667,48.0,20.0,False
butyrate,0.20833333333333334,96.0,20.0,False
butyrate,0.11904761904761904,168.0,20.0,False
butyrate,0.11904761904761904,168.0,20.0,False
butyrate,0.4166666666666667,96.0,40.0,False
butyrate,0.23809523809523808,168.0,40.0,False
butyrate,0.23809523809523808,168.0,40.0,False
butyrate,0.35714285714285715,168.0,60.0,False
butyrate,0.35714285714285715,168.0,60.0,False
antiinf,0.4166666666666667,48.0,20.0,False
antiinf,0.4166666666666667,48.0,20.0,False
antiinf,0.20833333333333334,96.0,20.0,False
antiinf,0.10416666666666667,192.0,20.0,False
antiinf,0.4166666666666667,96.0,40.0,False
antiinf,0.20833333333333334,192.0,40.0,False
antiinf,0.11904761904761904,336.0,40.0,False
antiinf,0.3125,192.0,60.0,False
antiinf,0.17857142857142858,336.0,60.0,False
antiinf,0.2976190476190476,336.0,100.0,False
antiinf,0.44642857142857145,336.0,150.0,False
