n,KQ,d_eval,u,K_u,gamma,p_high,rHP,stable_count
3,80,0.06600000000000451,0.7666666666666666,0.18,1.25,3.2,0.03444676964128001,3
4,80,0.06600000000000451,0.7666666666666666,0.1,1.25,3.2,0.062446769641280014,3
4,80,0.06600000000000451,0.8,0.12,1.25,3.2,0.03444676964128001,3
4,100,0.06600000000000451,0.6499999999999999,0.14,1.2000000000000002,3.2,0.03444676964128001,3
3,80,0.0600000000000041,0.7333333333333333,0.1,1.3,3.1,0.048446769641280016,3
3,80,0.0600000000000041,0.7666666666666666,0.14,1.3,3.1,0.062446769641280014,3
3,80,0.05400000000000369,0.6666666666666666,0.19999999999999998,1.25,3.1,0.048446769641280016,3
3,100,0.0600000000000041,0.7333333333333333,0.1,1.3,3.1,0.048446769641280016,3
3,100,0.0600000000000041,0.7666666666666666,0.14,1.3,3.1,0.062446769641280014,3
4,80,0.05400000000000369,0.6833333333333332,0.1,1.3,3.1,0.062446769641280014,3
4,80,0.05400000000000369,0.6833333333333332,0.18,1.3,3.1,0.048446769641280016,3
4,80,0.05400000000000369,0.7166666666666667,0.14,1.3,3.1,0.062446769641280014,3
4,80,0.06600000000000451,0.6666666666666666,0.12,1.3,3.1,0.048446769641280016,3
4,100,0.05400000000000369,0.6833333333333332,0.1,1.3,3.1,0.062446769641280014,3
4,100,0.05400000000000369,0.6833333333333332,0.18,1.3,3.1,0.048446769641280016,3
4,100,0.05400000000000369,0.7166666666666667,0.14,1.3,3.1,0.062446769641280014,3
4,100,0.05400000000000369,0.7833333333333333,0.1,1.3,3.1,0.048446769641280016,3
4,100,0.06600000000000451,0.6166666666666666,0.3,1.05,3.1,0.14644676964128,3
4,100,0.06600000000000451,0.6666666666666666,0.12,1.3,3.1,0.048446769641280016,3
4,100,0.06600000000000451,0.7333333333333333,0.1,1.3,3.1,0.006446769641280006,3
