subject_id,n_obs_B,RMSE_B,NRMSE_B,R2_B,n_obs_H,RMSE_H,NRMSE_H,R2_H,r_M,gamma,sigma_F,sigma_A,p_max,s_B,a_B
C3001,6.0,1.2814873565978016,3.7517180570035578,-13.075388379246547,6.0,1.010304713180072,1.010304713180072,-0.0207156134738673,1.544787307420242,0.7727915430278439,0.053415321172022114,1.0291119160165203,0.48478474605203764,0.27468117510297435,4.999999980632837
C3002,6.0,1.2994956107726403,10.089352004741738,-100.7950238755861,6.0,1.6165482549931705,1.6165482549931705,-1.6132282607214647,0.4904724821221914,0.5006351330816575,0.3371202481171525,0.02627328625757472,4.228809303085723,0.1863527606073851,4.999982865628396
C3003,5.0,1.5603534705447335,3.1462728062660106,-8.899032571449,5.0,1.3554831361402624,1.3554831361402624,-0.8373345323606409,0.952078094031443,1.23188098282087,0.697088379152323,1.1936270276270986,1.4974058319089325,0.24683805274031306,4.999999976706745
C3004,5.0,1.427034416403144,7.7255207625972036,-58.683671053320474,4.0,1.0131327178600351,1.0131327178600351,-0.026437903998461465,0.3822166513892688,0.3574632578420702,0.018836339038396026,0.00115304482084546,4.769070744263121,0.2851436406527666,4.999996496900471
C3005,5.0,1.1034915217677417,6.669501396078069,-43.48224887228731,1.0,12.396679566469242,,,0.05000000039714846,1.8921359451824484,1.4999999463857403,0.00750000000000006,4.999999892888577,0.3657922639302598,4.999999964886595
C3006,5.0,1.5295155329751897,3.0089672765827746,-8.053884071545959,4.0,1.372048574045493,1.3720485740454929,-0.8825172895402702,0.43499877026937966,0.9099433819838758,0.026835812377994064,0.00749999999999242,2.423817795345751,0.3116257269387614,4.999999999999992
C3008,4.0,1.422701609714811,18.414345860107883,-338.08813345567233,3.0,2.8041657814549548,,,1.8814678520470398,0.21026005768892747,0.0006519392469585968,1.1695012529501367,0.30000000000000004,0.2757071338867362,4.999999999999999
C3009,6.0,1.2215771929036556,5.895791539090107,-33.760357872406495,4.0,1.7551125219756525,1.7551125219756527,-2.0804199647957358,0.2708510155229663,0.23799433954568505,0.00039633725308862777,0.007499999999996667,2.6750568640516157,0.30400683080685276,4.999999999999849
C3010,6.0,1.6151092050251117,7.540077585312186,-55.852769992527236,5.0,1.4802684312308259,1.4802684312308259,-1.1911946284985704,0.21477267204503483,1.8623079667784268,0.04982042537783807,0.40724116074990324,0.3028497430561157,0.32818585898731234,4.9999999860925115
C3011,5.0,2.1693926754592887,11.545977740571583,-132.3096019857745,5.0,3.5167593507527015,3.5167593507527015,-11.367596331106563,0.2731373973190804,0.2503298248692754,0.03336153931345229,0.0002772818565735021,4.84625262004906,0.3207900032726654,4.99999999993819
C3012,6.0,0.7586856058457535,2.107885034817616,-3.4431793200080634,2.0,8.745258515258062,,,0.05000000000000002,9.505297158940804e-10,1.499999996999751,1.260284288075337e-09,4.999999865268775,0.40600385324069227,4.999999999740831
C3013,5.0,1.4284968459899325,4.757381863017982,-21.63268219057245,5.0,1.364914608126939,1.364914608126939,-0.8629918874783151,0.31808024222814163,0.001064858929267552,1.4591619230722292,1.3059082707349963,0.5918761410615982,0.24162069898397587,4.999999927693896
C3015,5.0,0.9735808066834211,2.447107224348207,-4.988333767457188,2.0,8.054459302357648,8.054459302357648,-63.87431465333566,0.05000000000000007,1.9999999989678805,1.4999999998699411,0.0049274176880631515,4.9999999886500985,0.2691396147514676,4.999999999750077
C3016,7.0,1.7373061776628254,6.573342067259485,-42.20882593320319,6.0,0.8687787815946821,0.8687787815946821,0.24522342865085955,1.2141776078734707,0.00025445768762747577,0.17981749347526502,1.1691163251689072,3.3726284260281623,0.24666910381445387,4.999999999999999
C3017,6.0,1.462990698999956,1.873278818700385,-2.50917353259151,6.0,1.0165346863316471,1.0165346863316471,-0.03334276851537976,0.4774591288626084,1.0400148506425386,0.2737727761222971,0.49924179135841135,1.2027485331627201,0.2823088869684737,4.999999993848721
C3021,4.0,1.457521326790646,10.357514591385694,-106.27810851076755,3.0,1.8971805985718773,1.8971805985718773,-2.5992942235975462,0.0500130740790851,0.054660802208048996,1.4993750799143075,0.7513228704865201,1.1241043310444259,0.2772716618424375,4.999999999999999
C3022,6.0,1.617397720606621,6.223770673223127,-37.73532139287226,0.0,,,,0.050000000000002036,7.440433204216482e-15,1.4999999999999971,1.495644945601844,0.30000000000000154,0.3550688396415991,4.9999999999999565
C3023,7.0,1.6621481824297721,12.445785047146241,-153.897565439769,6.0,1.163316214547694,1.163316214547694,-0.3533046150295762,0.19906755201950968,0.21884886657614386,0.10128290947510399,2.623202978398731e-06,0.5258468360902295,0.2444909059489046,4.999999999991757
C3027,6.0,1.4531352298399614,8.384157972140194,-69.29410490180199,6.0,4.158874449055767,4.158874449055767,-16.296236683008903,0.08633303964564082,0.3769604635027344,0.011672459977706242,0.4491603520017032,0.7615156876413379,0.25829910680872625,4.999999999997242
C3028,5.0,1.4075843988135164,4.6550635973296615,-20.669617095183767,5.0,4.647235724931832,4.647235724931832,-20.59679988308269,1.3121747374624808,0.11584940370529674,0.2554144455894286,1.2266571368525088,4.999813890893322,0.33856206184151694,4.999982703377163
C3031,4.0,1.3790416963018493,10.907064104358756,-117.9640473765913,3.0,1.4693199169398359,1.4693199169398359,-1.1589010183160853,1.459466711696292,0.8627256475899078,0.3798205899984885,0.8655480897886898,0.7344267074890586,0.28785292053152106,4.999995935739715
C3032,8.0,1.2756499554106235,11.23651812067914,-125.25933947635069,4.0,10.34265905090278,,,0.05000000000000001,5.418857549734333e-18,1.4999999999999998,1.6168087452405235e-16,4.999999999999922,0.4193380141892243,4.999999999999999
C3034,5.0,1.295092014135196,3.607797308622069,-12.016201420100643,5.0,1.2443218627852197,1.2443218627852195,-0.5483368982052785,0.7161182283475844,0.5752191736782077,0.39169325775727004,1.256058403493246,3.5710195394510067,0.3039934472978263,4.999999612811046
C3035,5.0,1.563608517504684,10.871703173071712,-117.19392988337755,4.0,1.502960386172451,1.5029603861724512,-1.2588899224036436,0.2621059903129902,0.2698321094746884,0.10016024410096841,1.1462019969919153,0.3366627037917843,0.279458856191195,4.999999999999999
C3037,8.0,1.4291382152048213,6.092610977027957,-36.119908517401555,3.0,0.9759408224361033,0.9759408224361035,0.04753951110274224,0.47311647313151967,0.5762386745547136,0.14975322141237649,0.7704597643080925,4.999999508448627,0.24842451898414167,4.999999993223181
E5001,5.0,1.6285789769401993,10.228198137273427,-103.61603713532365,4.0,1.3153988942357189,1.315398894235719,-0.7302742509565523,0.21175453057782734,0.18438607038986876,3.633016352330809e-06,1.1238611052449807,0.30000000000000004,0.2564768871540694,4.999999999999999
E5004,5.0,1.3587534586713024,5.279403747699513,-26.87210393122367,5.0,2.694287657445717,2.6942876574457166,-6.2591859810643244,1.240661502460674,1.5637107617240693,0.23356985460872887,1.2999041281288237,0.37150389776018666,0.15291486077213193,4.999999999302882
E5009,5.0,1.202872082238577,7.264632694734739,-51.77488818940891,4.0,2.005212392386978,2.005212392386978,-3.0208767385823077,0.40266462690957255,0.0027825248015771846,0.30193552396448087,1.1429484310180418,0.5340610037065684,0.25747478622272135,4.999999999961587
E5013,5.0,1.4213252313146267,5.377560038076381,-27.918151963116053,3.0,0.8671843389450824,0.8671843389450824,0.2479913222883805,1.4782745935112864,1.0979181657591826,0.4756129654263515,0.8462797670025284,4.242746579251211,0.3097195123055462,4.9999999999934
H4001,8.0,1.5273237923822867,5.485977154350335,-29.095945338053806,3.0,3.0245768311312506,3.024576831131251,-8.148065007415957,0.050000000072583636,0.041908063760379664,2.9843918412869067e-09,0.43393388977006975,0.30000000000000004,0.2701349162823069,4.999999999999999
H4004,8.0,1.3534496688433215,3.1059612281742095,-8.646995150921443,7.0,4.138826044355472,4.138826044355473,-16.12988102543516,1.1994959294797203,0.5917885327370361,0.35554819088060524,0.7199282949257603,2.9862216899157374,0.2947835391926907,4.99812288410725
