subject_id,basins,deltaH_midF
C3001,2,3.503527099580266e-57
C3002,1,1.1223833936213897e-56
C3003,1,3.095504477917642e-55
C3004,1,2.5239122132141198e-55
C3005,1,-12.159760153454142
C3006,5,6.370000742212803e-56
C3008,1,-2.0908203657299396e-07
C3009,21,2.6841046213887293e-57
C3010,1,4.0453613670866665e-56
C3011,13,2.3137720225153673e-57
C3012,1,-0.05579850529455399
C3013,4,4.462701130806535e-57
C3015,1,-0.07601816760011104
C3016,1,2.1969861384781204e-57
C3017,1,1.5737983380266786e-54
C3021,1,2.4649567015430934e-57
C3022,2,1.1670286651089584e-57
C3023,9,2.6275209527983933e-57
C3027,2,2.7846295023928234e-57
C3028,1,2.0402402850498338e-57
C3031,105,2.5905177405617315e-54
C3032,2,2.42527758592162e-57
C3034,111,1.3688791372363044e-56
C3035,3,5.876941831453083e-57
C3037,1,1.0730773647802247e-55
E5001,22,2.2044847298406602e-57
E5004,93,1.5118958051566613e-57
E5009,92,3.888257814407538e-57
E5013,1,1.1927653156302216e-57
H4001,42,2.753622676145157e-57
H4004,2,1.0437623791765168e-57
H4006,1,-0.05579870140251053
H4007,2,1.8312831183857976e-57
H4008,2,1.2610972937146922e-57
H4009,1,-0.07601816760007907
H4010,1,1.77261749010635e-57
H4013,1,-0.07191168843764117
H4014,2,2.3985970369709512e-57
H4015,2,3.415497455577405e-57
H4016,1,-0.05579850535131037
H4017,9,4.031552571074981e-21
H4018,1,-0.07601816762802649
H4019,3,2.9821046026764416e-56
H4020,27,2.5206241136802742e-57
H4022,2,2.4779880819966894e-57
H4023,1,-0.05579850532983599
H4024,1,-0.05579850529456287
H4027,1,8.813371267899937e-56
H4030,2,2.4781091121206947e-57
H4031,1,-0.05579850529455399
H4032,1,-0.05580153024600243
H4035,2,1.0648800637296314e-57
H4038,1,-0.06797511139297718
H4039,1,-0.05611538110332148
H4040,1,-0.07601816760006308
H4042,1,1.3651585647822592e-57
H4043,2,1.2658614860820056e-56
H4045,2,-1.1816092246477875e-46
M2008,1,6.55702172037667e-55
M2014,96,-0.057694311178348556
M2021,2,1.0825554375253712e-57
M2025,1,2.4946559705991483e-55
M2026,1,-0.05579850869031944
M2027,2,2.4640680758968718e-57
M2028,85,2.6227763918479613e-57
M2034,1,2.954752764766331e-57
M2039,2,8.801918124355008e-58
M2041,2,2.463849731244574e-57
M2042,2,2.4779782660197654e-57
M2047,1,-0.055798505310340474
M2060,1,-0.057242136633634644
M2061,2,2.4779838390055693e-57
M2064,2,1.0690345943195385e-57
M2068,113,4.088445126285328e-57
M2069,1,1.2126033589909422e-56
M2071,1,1.9742103530919973e-56
M2072,1,-0.05579851164387506
M2075,2,2.4777395616423428e-57
M2077,3,1.0034611289774464e-57
M2079,2,3.043098706238193e-57
M2083,47,2.8483676676958427e-57
M2084,2,2.4779781929292626e-57
M2085,24,2.0314011847859664e-57
M2097,2,2.4779782017616988e-57
P6005,7,2.6083321644560274e-57
P6009,2,2.4059372676793197e-57
P6010,1,9.985861897516251e-57
P6013,37,6.039103812947905e-54
P6016,2,-0.07600926308481348
P6018,2,8.790832930976214e-58
P6024,1,1.389816083697824e-57
P6028,27,2.0154279352345602e-55
P6033,5,3.023922685994197e-57
P6035,1,-0.07601816760031532
P6037,1,-0.07563773063090373
P6038,82,2.195100101978007e-57
