N_HILL,KQ,p_high_scale,rHP_scale,K_u_scale,u_scale,gamma_scale,n_stable,dH,basin_high_frac,score
3,150,1.0,1.2,1.0,0.9,0.9,2,0.2073029147713183,0.25,0.1598029147713183
3,100,1.0,1.2,1.0,0.9,0.9,2,0.2073029153180188,0.24609375,0.15843572781801882
3,120,1.0,1.2,1.0,0.9,0.9,2,0.2073029153179413,0.24609375,0.1584357278179413
3,150,1.0,1.1,1.0,0.95,0.9,2,0.19852852971569765,0.2578125,0.15376290471569765
3,180,1.0,1.1,1.0,0.95,0.9,2,0.198528529715125,0.2578125,0.153762904715125
3,180,1.1,1.3,1.0,0.9,0.9,2,0.20768760242123785,0.23046875,0.15335166492123786
3,150,1.1,1.3,1.0,0.9,0.9,2,0.20768760242123738,0.23046875,0.1533516649212374
3,120,1.0,1.1,1.0,0.95,0.9,2,0.1985285297152081,0.25390625,0.15239571721520812
3,100,1.0,1.1,1.0,0.95,0.9,2,0.198528529714675,0.25,0.151028529714675
3,180,1.1,1.3,1.0,0.95,0.9,2,0.19923721782965373,0.2421875,0.14900284282965373
3,180,1.1,1.2,1.0,0.9,0.9,2,0.20730291533002898,0.21875,0.14886541533002898
3,100,1.0,1.2,0.9,0.95,0.9,2,0.18678572053169037,0.27734375,0.14885603303169037
3,100,1.0,1.1,0.9,0.9,0.9,2,0.19441295010405632,0.25,0.14691295010405633
3,150,1.0,1.2,0.8,0.9,0.9,2,0.18177497271944176,0.28515625,0.14657966021944177
3,120,1.0,1.2,0.8,0.9,0.9,2,0.1817749666121032,0.28515625,0.14657965411210322
3,180,1.0,1.2,0.8,0.9,0.9,2,0.18177496640236324,0.28515625,0.14657965390236324
3,100,1.0,1.2,0.8,0.9,0.9,2,0.18177496578056354,0.28515625,0.14657965328056355
3,100,1.1,1.3,1.0,0.95,0.9,2,0.19923721782971604,0.234375,0.14626846782971606
3,120,1.1,1.3,1.0,0.95,0.9,2,0.19923721782965428,0.234375,0.1462684678296543
3,180,1.0,1.3,0.7,0.95,0.9,2,0.16154292252291366,0.33984375,0.14548823502291366
3,150,1.0,1.0,0.9,0.9,0.9,2,0.19407220789116175,0.24609375,0.14520502039116176
3,180,1.0,1.0,0.9,0.9,0.9,2,0.19407220786655405,0.24609375,0.14520502036655406
3,120,1.0,1.0,0.9,0.9,0.9,2,0.19407220786432977,0.24609375,0.14520502036432978
3,120,1.0,1.3,0.7,0.95,0.9,2,0.16154292252923075,0.3359375,0.14412104752923074
3,150,1.0,1.3,0.7,0.95,0.9,2,0.16154292252433886,0.3359375,0.14412104752433885
3,100,1.0,1.3,0.7,0.95,0.9,2,0.1615429225091965,0.3359375,0.1441210475091965
3,150,1.1,1.1,1.0,0.9,0.9,2,0.2069193736519029,0.203125,0.1430131236519029
3,100,1.0,1.0,0.9,0.9,0.9,2,0.19407220771319217,0.23828125,0.14247064521319217
3,120,1.1,1.1,1.0,0.9,0.9,2,0.20691937365190297,0.19921875,0.14164593615190296
3,180,1.1,1.1,1.0,0.9,0.9,2,0.20691937365190252,0.19921875,0.14164593615190252
3,100,1.1,1.1,1.0,0.9,0.9,2,0.20691937365189744,0.19921875,0.14164593615189744
3,120,1.1,1.3,0.9,1.0,0.9,2,0.17981409154907413,0.26953125,0.13915002904907414
3,150,1.1,1.3,0.9,1.0,0.9,2,0.17981409144402882,0.26953125,0.13915002894402884
3,100,1.1,1.3,0.9,1.0,0.9,2,0.17981409150971958,0.265625,0.1377828415097196
3,180,1.0,1.2,0.7,1.0,0.9,2,0.15492660021973803,0.3359375,0.13750472521973803
3,150,1.0,1.2,0.7,1.0,0.9,2,0.1549266001608005,0.3359375,0.1375047251608005
3,150,1.0,1.2,0.7,0.95,0.9,2,0.16130256078571345,0.31640625,0.13704474828571345
3,180,1.0,1.2,0.7,0.95,0.9,2,0.16130256078571345,0.31640625,0.13704474828571345
3,120,1.0,1.2,0.7,0.9,0.9,2,0.16830579367618778,0.2890625,0.1344776686761878
3,100,1.0,1.2,0.7,0.9,0.9,2,0.16830579353057687,0.2890625,0.13447766853057688
3,120,1.0,1.2,0.7,1.0,0.9,2,0.15492659983578644,0.32421875,0.13340316233578645
4,100,1.0,1.3,1.0,0.9,0.9,2,0.1698347978272695,0.28125,0.13327229782726951
3,100,1.0,1.2,0.7,0.95,0.9,2,0.16130256078476746,0.3046875,0.13294318578476746
3,120,1.0,1.2,0.7,0.95,0.9,2,0.1613025606723504,0.3046875,0.13294318567235042
4,180,1.0,1.3,1.0,0.95,0.9,2,0.16233465377106826,0.30078125,0.13260809127106826
3,100,1.1,1.3,0.8,0.95,0.9,2,0.17455532869329832,0.265625,0.13252407869329833
4,120,1.0,1.3,1.0,0.9,0.9,2,0.16983479768050072,0.27734375,0.13190511018050072
4,150,1.0,1.3,1.0,0.95,0.9,2,0.16233465376889106,0.296875,0.13124090376889105
3,120,1.2,1.2,1.0,0.95,0.9,2,0.19888236379849938,0.19140625,0.1308745512984994
3,100,1.0,1.2,0.7,1.0,0.9,2,0.15492660022537236,0.31640625,0.13066878772537235
4,150,1.0,1.3,1.0,0.9,0.9,2,0.1698347978272661,0.2734375,0.13053792282726612
4,180,1.0,1.3,1.0,0.9,0.9,2,0.1698347978164535,0.2734375,0.13053792281645352
3,120,1.35,1.3,1.0,0.9,0.9,2,0.20768760238482878,0.1640625,0.13010947738482878
4,100,1.0,1.3,1.0,0.95,0.9,2,0.1623346537952812,0.29296875,0.12987371629528122
4,120,1.0,1.3,1.0,0.95,0.9,2,0.1623346537894949,0.29296875,0.12987371628949493
3,150,1.1,1.2,0.8,0.9,0.9,2,0.18177497273303783,0.234375,0.12880622273303785
3,180,1.1,1.2,0.8,0.9,0.9,2,0.1817749726836323,0.234375,0.12880622268363232
3,180,1.1,1.1,0.9,0.95,0.9,2,0.18647076849396474,0.21875,0.12803326849396474
3,100,1.1,1.2,0.9,1.0,0.9,2,0.17952186798767933,0.23828125,0.12792030548767933
3,180,1.2,1.1,1.0,0.95,0.9,2,0.1985285297173359,0.18359375,0.1277863422173359
3,120,1.2,1.1,1.0,0.95,0.9,2,0.19852852971429827,0.18359375,0.12778634221429827
3,100,1.2,1.1,1.0,0.95,0.9,2,0.1985285296729255,0.18359375,0.1277863421729255
3,150,1.2,1.1,1.0,0.95,0.9,2,0.19852852965171042,0.18359375,0.12778634215171042
3,120,1.1,1.2,0.8,0.9,0.9,2,0.18177497274687104,0.23046875,0.12743903524687106
3,180,1.1,1.3,0.8,1.0,0.9,2,0.16770439425874376,0.26953125,0.12704033175874377
3,120,1.1,1.1,0.9,0.95,0.9,2,0.18647076849608824,0.21484375,0.12666608099608825
3,150,1.1,1.1,0.9,0.95,0.9,2,0.18647076849295993,0.21484375,0.12666608099295995
3,100,1.1,1.1,0.9,0.95,0.9,2,0.18647076742626986,0.21484375,0.12666607992626988
4,120,1.0,1.2,1.0,0.9,0.9,2,0.16955335522510445,0.26171875,0.12615491772510445
4,100,1.0,1.2,1.0,0.9,0.9,2,0.169553355219145,0.26171875,0.126154917719145
3,180,1.2,1.0,1.0,0.95,0.9,2,0.19817571249404836,0.1796875,0.12606633749404836
3,150,1.2,1.0,1.0,0.95,0.9,2,0.19817571240889703,0.1796875,0.12606633740889703
3,100,1.1,1.3,1.0,0.9,1.0,2,0.20768760251112484,0.15234375,0.12600791501112485
3,150,1.1,1.3,0.8,1.0,0.9,2,0.16770439426089453,0.265625,0.12567314426089454
3,100,1.1,1.3,0.8,1.0,0.9,2,0.16770439409681073,0.265625,0.12567314409681074
4,180,1.0,1.3,0.9,0.95,0.9,2,0.1522993483385385,0.30859375,0.12530716083853852
3,100,1.1,1.0,1.0,1.0,0.9,2,0.1905481383905132,0.19921875,0.1252747008905132
3,120,1.0,1.0,0.8,1.0,0.9,2,0.16693643671718297,0.265625,0.12490518671718298
4,180,1.0,1.2,1.0,0.9,0.9,2,0.16955335523716103,0.2578125,0.12478773023716103
3,120,1.2,1.0,1.0,0.95,0.9,2,0.19817571249404728,0.17578125,0.1246991499940473
3,180,1.0,1.2,1.0,1.0,1.0,2,0.19120264483592567,0.1953125,0.12456201983592569
3,100,1.3,1.2,1.0,0.95,0.9,2,0.1988823634145818,0.171875,0.1240386134145818
4,100,1.0,1.3,0.9,0.95,0.9,2,0.15229934836589165,0.3046875,0.12393997336589166
4,120,1.0,1.3,0.9,0.95,0.9,2,0.15229934832099376,0.3046875,0.12393997332099377
