metabolite,local_sample_id,intensity,subject_id,time_hr
butyrate,SM-5Q4W7,4665155.0,,
butyrate,SM-5QVZ9,8723099.0,,
butyrate,SM-5QVZD,5617456.0,,
butyrate,SM-5U5DE,4671470.0,,
butyrate,SM-5WXZX,6746024.0,,
butyrate,SM-5XHHR,3467508.0,,
butyrate,SM-5ZNHM,955988.0,,
butyrate,SM-5ZNHS,12437461.0,,
butyrate,SM-5ZZL9,5614528.0,,
butyrate,SM-61N7T,1490086.0,,
butyrate,SM-61NJ9,3376027.0,,
butyrate,SM-61U3T,5756703.0,,
butyrate,SM-61YN5,941991.0,,
butyrate,SM-62ARQ,8600646.0,,
butyrate,SM-63ZAH,4350949.0,,
butyrate,SM-64NA9,8527775.0,,
butyrate,SM-65GXK,6706815.0,,
butyrate,SM-67WTX,5502571.0,,
butyrate,SM-689O4,5657138.0,,
butyrate,SM-689SS,3317733.0,,
butyrate,SM-69UMY,9588427.0,,
butyrate,SM-6AXJO,16501552.0,,
butyrate,SM-6BKS1,13873456.0,,
butyrate,SM-6BQPK,32580.0,,
butyrate,SM-6CAJC,5287956.0,,
butyrate,SM-6CAJI,7040748.0,,
butyrate,SM-6CAKR,4188516.0,,
butyrate,SM-6DRTP,2206052.0,,
butyrate,SM-6EFPD,3126704.0,,
butyrate,SM-6FNVI,3119522.0,,
butyrate,SM-6FNW6,3125107.0,,
butyrate,SM-6GH65,1434687.0,,
butyrate,SM-6HUBR,3539775.0,,
butyrate,SM-6HUG5,2048935.0,,
butyrate,SM-6J3OB,44869.0,,
butyrate,SM-6JWO4,2002932.0,,
butyrate,SM-6KUC9,4616211.0,,
butyrate,SM-6KUCD,3129029.0,,
butyrate,SM-6KUCH,6028936.0,,
butyrate,SM-6KUCT,4607180.0,,
butyrate,SM-6KUD2,8498203.0,,
butyrate,SM-6M2VX,4977087.0,,
butyrate,SM-6M48S,7090805.0,,
butyrate,SM-6MSSO,4891178.0,,
butyrate,SM-6MSSW,2695487.0,,
butyrate,SM-6MYZ2,1303461.0,,
butyrate,SM-6OLSC,5921875.0,,
butyrate,SM-6OOEJ,4505303.0,,
butyrate,SM-6OSOU,6463775.0,,
butyrate,SM-6Q4FM,7208808.0,,
butyrate,SM-6Q4FQ,6427083.0,,
butyrate,SM-6RB9P,13247399.0,,
butyrate,SM-6SF6T,7352857.0,,
butyrate,SM-6SSMY,17436672.0,,
butyrate,SM-6TO52,6722201.0,,
butyrate,SM-6WJN1,10565127.0,,
butyrate,SM-6WOC1,7450198.0,,
butyrate,SM-6WU1I,5851761.0,,
butyrate,SM-6X9W2,7328493.0,,
butyrate,SM-6X9W6,4064697.0,,
butyrate,SM-6X9WA,3509305.0,,
butyrate,SM-6X9WE,4498370.0,,
butyrate,SM-6X9WM,5605548.0,,
butyrate,SM-6X9WU,2204475.0,,
butyrate,SM-6XJTB,5635509.0,,
butyrate,SM-6XJTF,1392500.0,,
butyrate,SM-6XJTN,2368893.0,,
butyrate,SM-6XJUC,2236376.0,,
butyrate,SM-6XNM3,12119677.0,,
butyrate,SM-6XRKG,9876546.0,,
butyrate,SM-6XSL6,5140509.0,,
butyrate,SM-6XSLI,4055760.0,,
butyrate,SM-6XTSQ,2126898.0,,
butyrate,SM-6XTSU,3497665.0,,
butyrate,SM-6XTSY,16977461.0,,
butyrate,SM-6Y2UL,8018819.0,,
butyrate,SM-6Y87V,3577814.0,,
butyrate,SM-6YAZN,4205742.0,,
butyrate,SM-6YAZR,1863920.0,,
butyrate,SM-6ZEU8,3550071.0,,
butyrate,SM-6ZEUG,3315078.0,,
butyrate,SM-6ZEV1,7646701.0,,
butyrate,SM-6ZEVH,2540940.0,,
butyrate,SM-6ZEVL,3076462.0,,
butyrate,SM-6ZJI5,11002526.0,,
butyrate,SM-6ZJI9,32833952.0,,
butyrate,SM-6ZKSA,2100673.0,,
butyrate,SM-6ZKT1,13064014.0,,
butyrate,SM-6ZKY3,6976096.0,,
butyrate,SM-6ZT2N,5593892.0,,
butyrate,SM-6ZT2V,5442828.0,,
butyrate,SM-6ZT3C,8768760.0,,
butyrate,SM-6ZT3G,18352.0,,
butyrate,SM-6ZT3W,3953500.0,,
butyrate,SM-6ZUH2,11652994.0,,
butyrate,SM-71WX9,1480380.0,,
butyrate,SM-71WXD,1559036.0,,
butyrate,SM-71WXH,4624778.0,,
butyrate,SM-71WXX,8207927.0,,
butyrate,SM-71WY2,2992031.0,,
butyrate,SM-71ZV9,7095329.0,,
